ID,NOMBRE,SEDE,PROG,NIVEL,Estatus,% BECA,CARGOS,ECA,DEPP,AJUSTADO,PAGADO,SALDO,SALDO VENCIDO,NCV,C,B,A,P,S,%,C,B,A,P,S,%,C,B,A,P,S,%,C,B,A,P,S,%
25,Nombre25,CAM,LIC-FICO-10,LI,AS,,8634,0,0,8634,5398.93,3235.07,0,0,3780,0,3780,3780,0,100,1618,0,1618,1618,0,100,1618,0,1618,0.93,1617.07,0.0574,1618,0,1618,0,1618,0
26,Nombre26,CAM,LIC-EJDE-17,LI,AS,,8720.7,0,0,8720.7,2127.2,6593.5,2339.5,3,2127,0,2127,2126.9,0.1,99.99,2127,0,2127,0.3,2126.7,0.0141,2127,0,2127,0,2127,0,2127,0,2127,0,2127,0
27,Nombre27,CAM,LIC-ADME-15,LI,AS,,18225.48,0,643.48,17582,17581.23,0.77,0.48,1,4005,0,4005,4004.52,0.48,99.98,3575,0,3575,3575,0,100,3575,0,3575,3575,0,100,3575,0,3575,3574.71,0.29,99.99
28,Nombre28,CAM,MAE-MADN-15,MA,PT,,15136,0,786.63,14349.37,19106,7568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Nombre29,CAM,LIC-EJDE-12,LI,AS,,8932.3,0,0,8932.3,4498.37,4433.93,0,0,2217,0,2217,2217,0,100,2217,0,2217,2217,0,100,2217,0,2217,0.07,2216.93,0.0031,2217,0,2217,0,2217,0
30,Nombre30,CAM,M03-EDUC-15,MA,PT,,10089,0,0,10089,5045,5044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Nombre31,CAM,LIC-SIIN-10C,LI,AS,,26795,0,0,26795,23363,3432,0.48,1,4005,0,4005,4004.52,0.48,99.98,1716,0,1716,1716,0,100,1716,0,1716,0.48,1715.52,0.0279,1716,0,1716,0,1716,0
32,Nombre32,CAM,LIC-SIIN-10C,LI,AS,,17767.13,0,0,17767.13,4467.65,13299.48,4719.48,3,4005,0,4005,4004.52,0.48,99.98,4290,0,4290,0,4290,0,4290,0,4290,0,4290,0,4290,0,4290,0,4290,0
33,Nombre33,CAM,MAE-MERD-15,MA,AS,404,15588,0,459,15129,14823,306,0,0,3825,1836,1989,1989,0,100,3825,1836,1989,1989,0,100,3825,1836,1989,1989,0,100,3825,1836,1989,1683,306,84.61
34,Nombre34,CAM,LIC-EJDE-12,LI,AS,,10762.9,0,0,10762.9,2517.6,8245.3,2925.3,2,2217,0,2217,2217,0,100,2660,0,2660,0.6,2659.4,0.0225,2660,0,2660,0,2660,0,2660,0,2660,0,2660,0
